Drug	ABX	Strain	Replicate	normAUC	Exp
Tranylcypromine hydrochloride	Erythromycin	NT5001	R1	0.03071553121311106	LM18-12
Diosmin	Erythromycin	NT5002	R1	0.011881857810649831	LM18-13
Carbidopa	Erythromycin	NT5002	R1	0.011942746275782814	LM18-13
(-)-Emtricitabine	Erythromycin	NT5002	R1	0.01719264821971955	LM18-13
Quipazine dimaleate salt	Erythromycin	NT5002	R1	0.017560840376218505	LM18-13
Acipimox	Erythromycin	NT5002	R1	0.0159709163755722	LM18-13
Diflorasone Diacetate	Erythromycin	NT5002	R1	0.016046297317800662	LM18-13
Acamprosate calcium	Erythromycin	NT5002	R1	0.015522875491856727	LM18-13
Benztropine mesylate	Erythromycin	NT5002	R1	0.007494524136254581	LM18-13
Racepinephrine HCl	Erythromycin	NT5002	R1	0.01143520053641612	LM18-13
Alverine citrate salt	Erythromycin	NT5001	R1	0.03140199690465927	LM18-12
Mizolastine	Erythromycin	NT5002	R1	0.008425087866596912	LM18-13
Amisulpride	Erythromycin	NT5002	R1	0.005466014760406732	LM18-13
Pyridoxine hydrochloride	Erythromycin	NT5002	R1	0.009199864272641085	LM18-13
Mercaptopurine	Erythromycin	NT5002	R1	0.013408116037984317	LM18-13
Cytarabine	Erythromycin	NT5002	R1	0.014855011955230243	LM18-13
Folic acid	Erythromycin	NT5002	R1	0.017439267599832053	LM18-13
Benazepril HCl	Erythromycin	NT5002	R1	0.01561871923006022	LM18-13
Aniracetam	Erythromycin	NT5002	R1	0.01140261437459819	LM18-13
Dimethisoquin hydrochloride	Erythromycin	NT5002	R1	0.008240442600863864	LM18-13
Idoxuridine	Erythromycin	NT5001	R1	0.016301581614237375	LM18-12
Aceclofenac	Erythromycin	NT5001	R1	0.03064632164951966	LM18-12
Montelukast	Erythromycin	NT5002	R1	0.0054617518515333524	LM18-13
Pravastatin	Erythromycin	NT5002	R1	0.01411127263058123	LM18-13
Alendronate sodium	Erythromycin	NT5002	R1	0.01485543294552253	LM18-13
Dipivefrin hydrochloride	Erythromycin	NT5002	R1	0.01404187636048709	LM18-13
Thiorphan	Erythromycin	NT5002	R1	0.018035842849499627	LM18-13
Tomoxetine hydrochloride	Erythromycin	NT5002	R1	0.01592354408068098	LM18-13
Aceclidine Hydrochloride	Erythromycin	NT5002	R1	0.013319434358793951	LM18-13
Levetiracetam	Erythromycin	NT5002	R1	0.013914278788631126	LM18-13
Dexfenfluramine hydrochloride	Erythromycin	NT5002	R1	0.01633448950593695	LM18-13
Etoricoxib	Erythromycin	NT5002	R1	0.015661862575171288	LM18-13
Sertindole	Erythromycin	NT5002	R1	0.00951221762101211	LM18-13
Rosiglitazone Hydrochloride	Erythromycin	NT5002	R1	0.00944077989176275	LM18-13
Valproic acid	Erythromycin	NT5002	R1	0.017343504133916034	LM18-13
Sulmazole	Erythromycin	NT5002	R1	0.011881779039684098	LM18-13
Gefitinib	Erythromycin	NT5002	R1	0.015139581130790952	LM18-13
Flunisolide	Erythromycin	NT5002	R1	0.01964321627476272	LM18-13
N-Acetyl-DL-homocysteine Thiolactone	Erythromycin	NT5002	R1	0.01676862855990105	LM18-13
Flurandrenolide	Erythromycin	NT5002	R1	0.010348628767877305	LM18-13
Sulfamethoxazole	Erythromycin	NT5001	R1	0.029173541336389736	LM18-12
Rebamipide	Erythromycin	NT5002	R1	0.00826331370383603	LM18-13
Nilvadipine	Erythromycin	NT5002	R1	0.012360677343886477	LM18-13
Etanidazole	Erythromycin	NT5002	R1	0.019024918271874754	LM18-13
Pinaverium bromide	Erythromycin	NT5002	R1	0.01514207092651303	LM18-13
Mepivacaine hydrochloride	Erythromycin	NT5002	R1	0.020615837996855315	LM18-13
Carvedilol	Erythromycin	NT5002	R1	0.0068990319472000995	LM18-13
Glimepiride	Erythromycin	NT5002	R1	0.011594301563538429	LM18-13
Picrotoxinin	Erythromycin	NT5002	R1	0.008144785334513491	LM18-13
Mepenzolate bromide	Erythromycin	NT5002	R1	0.013415115815242119	LM18-13
Benfotiamine	Erythromycin	NT5002	R1	0.013414902554093623	LM18-13
Mephenesin	Erythromycin	NT5001	R1	0.037062741346916346	LM18-12
Halcinonide	Erythromycin	NT5002	R1	0.016481177873146555	LM18-13
Benzamil hydrochloride	Erythromycin	NT5002	R1	0.01188167220158012	LM18-13
Suxibuzone	Erythromycin	NT5002	R1	0.005653438944779063	LM18-13
6-Furfurylaminopurine	Erythromycin	NT5002	R1	0.0072822726976811865	LM18-13
Avermectin B1a	Erythromycin	NT5002	R1	0.013818322530444578	LM18-13
Methenamine	Erythromycin	NT5002	R1	0.022609279959699753	LM18-13
Fludarabine	Erythromycin	NT5002	R1	0.016768548734667064	LM18-13
Pranlukast	Erythromycin	NT5002	R1	0.01044441806518564	LM18-13
Penicillamine	Erythromycin	NT5002	R1	0.02194301025253589	LM18-13
Phenformin hydrochloride	Erythromycin	NT5001	R1	0.03740595050592334	LM18-12
Zileuton	Erythromycin	NT5002	R1	0.020888943000469225	LM18-13
Loratadine	Erythromycin	NT5002	R1	0.011594194980907229	LM18-13
Tetraethylenepentamine pentahydrochloride	Erythromycin	NT5002	R1	0.016960368912468396	LM18-13
Acefylline	Erythromycin	NT5002	R1	0.017343530731726522	LM18-13
Acitretin	Erythromycin	NT5002	R1	0.004791059360700022	LM18-13
Zonisamide	Erythromycin	NT5002	R1	0.015043790971369802	LM18-13
Irsogladine maleate	Erythromycin	NT5002	R1	0.011306743655518675	LM18-13
Cladribine	Erythromycin	NT5002	R1	0.014584667066501265	LM18-13
Olopatadine hydrochloride	Erythromycin	NT5002	R1	0.021463792391828915	LM18-13
Flutamide	Erythromycin	NT5001	R1	0.029511222936667223	LM18-12
Dydrogesterone	Erythromycin	NT5002	R1	0.019068368288359595	LM18-13
Sumatriptan succinate	Erythromycin	NT5002	R1	0.022996995859256707	LM18-13
Opipramol dihydrochloride	Erythromycin	NT5002	R1	0.01858923073193404	LM18-13
Nalidixic acid sodium salt	Erythromycin	NT5002	R1	0.021942956067113415	LM18-13
Oxacillin sodium	Erythromycin	NT5002	R1	0.02108060355970075	LM18-13
Thiamine hydrochloride	Erythromycin	NT5002	R1	0.018780864054816722	LM18-13
Tazobactam	Erythromycin	NT5002	R1	0.015427058191877167	LM18-13
Ibandronate sodium	Erythromycin	NT5002	R1	0.014564706514679112	LM18-13
Warfarin	Erythromycin	NT5002	R1	0.013606484150299808	LM18-13
Trifluridine	Erythromycin	NT5001	R1	0.04476901697951726	LM18-12
Granisetron	Erythromycin	NT5002	R1	0.012010668737449175	LM18-13
Desloratadine	Erythromycin	NT5002	R1	0.019451476911996748	LM18-13
Pranoprofen	Erythromycin	NT5002	R1	0.01696023621097826	LM18-13
Secnidazole	Erythromycin	NT5002	R1	0.009294348478141012	LM18-13
Pempidine tartrate	Erythromycin	NT5002	R1	0.025105021705174212	LM18-13
Clodronate	Erythromycin	NT5002	R1	0.02462596355892314	LM18-13
Ibutilide fumarate	Erythromycin	NT5002	R1	0.026159060922575552	LM18-13
Tramadol hydrochloride	Erythromycin	NT5002	R1	0.018493413815019843	LM18-13
Estropipate	Erythromycin	NT5002	R1	0.018110172074737415	LM18-13
Milrinone	Erythromycin	NT5001	R1	0.041525040186452436	LM18-12
Butylscopolammonium (n-) bromide	Erythromycin	NT5002	R1	0.01964324325573449	LM18-13
Irinotecan hydrochloride trihydrate	Erythromycin	NT5002	R1	0.01188169883128883	LM18-13
Clarithromycin	Erythromycin	NT5002	R1	0.009356531393446627	LM18-13
Vecuronium bromide	Erythromycin	NT5002	R1	0.016864419549536897	LM18-13
Tylosin	Erythromycin	NT5002	R1	0.00900697713757312	LM18-13
Citalopram Hydrobromide	Erythromycin	NT5002	R1	0.019643323080968524	LM18-13
Promazine hydrochloride	Erythromycin	NT5002	R1	0.018685074054982296	LM18-13
Sulfamerazine	Erythromycin	NT5002	R1	0.023188681994503437	LM18-13
Venlafaxine	Erythromycin	NT5002	R1	0.022326330125724735	LM18-13
Ampyrone	Erythromycin	NT5001	R1	0.03226285853673319	LM18-12
3-alpha-Hydroxy-5-beta-androstan-17-one	Erythromycin	NT5002	R1	0.025105075156172246	LM18-13
Tetrahydrozoline hydrochloride	Erythromycin	NT5002	R1	0.015714642761599538	LM18-13
Hexestrol	Erythromycin	NT5002	R1	0.4551421349411448	LM18-13
Cefmetazole sodium salt	Erythromycin	NT5002	R1	0.012264992713115708	LM18-13
Telmisartan	Erythromycin	NT5002	R1	0.01686439205771525	LM18-13
Docetaxel	Erythromycin	NT5002	R1	0.024625884084856463	LM18-13
Trihexyphenidyl-D,L Hydrochloride	Erythromycin	NT5002	R1	0.017631034741790615	LM18-13
Succinylsulfathiazole	Erythromycin	NT5002	R1	0.022038772728554815	LM18-13
Famprofazone	Erythromycin	NT5002	R1	0.3152439253483029	LM18-13
Bromopride	Erythromycin	NT5002	R1	0.01715205578194786	LM18-13
Levamisole hydrochloride	Erythromycin	NT5001	R1	0.03517768626770809	LM18-12
Methyl benzethonium chloride	Erythromycin	NT5002	R1	0.012264966498849613	LM18-13
Diphenylpyraline hydrochloride	Erythromycin	NT5002	R1	0.018780809965184646	LM18-13
Benzethonium chloride	Erythromycin	NT5002	R1	0.005845045606054901	LM18-13
Trioxsalen	Erythromycin	NT5002	R1	0.01887660076323979	LM18-13
Doxofylline	Erythromycin	NT5002	R1	0.015427111834455812	LM18-13
Cilnidipine	Erythromycin	NT5002	R1	0.008733144345505135	LM18-13
Rivastigmine	Erythromycin	NT5002	R1	0.019068235235606412	LM18-13
Sulfabenzamide	Erythromycin	NT5002	R1	0.01887662831895358	LM18-13
Benzocaine	Erythromycin	NT5002	R1	0.01878091750581483	LM18-13
Captopril	Erythromycin	NT5001	R1	0.036547522488334656	LM18-12
Pargyline hydrochloride	Erythromycin	NT5001	R1	0.0351776862677081	LM18-12
Dipyrone	Erythromycin	NT5002	R1	0.023188576018512333	LM18-13
Isosorbide dinitrate	Erythromycin	NT5002	R1	0.022038613429254145	LM18-13
Sulfachloropyridazine	Erythromycin	NT5002	R1	0.024242509579191704	LM18-13
Finasteride	Erythromycin	NT5002	R1	0.014756286769725102	LM18-13
Fluorometholone	Erythromycin	NT5002	R1	0.02079304660958414	LM18-13
Cephalothin sodium salt	Erythromycin	NT5002	R1	0.012935632008806923	LM18-13
Cefuroxime sodium salt	Erythromycin	NT5002	R1	0.007569750461102052	LM18-13
Sildenafil	Erythromycin	NT5002	R1	0.015810299964057827	LM18-13
Rifaximin	Erythromycin	NT5002	R1	0.008296422814639763	LM18-13
Methocarbamol	Erythromycin	NT5001	R1	0.0305466181859197	LM18-12
Althiazide	Erythromycin	NT5002	R1	0.016193541385071175	LM18-13
Isopyrin hydrochloride	Erythromycin	NT5002	R1	0.013893907888076469	LM18-13
Phenethicillin potassium salt	Erythromycin	NT5002	R1	0.016577261278441075	LM18-13
Sulfamethoxypyridazine	Erythromycin	NT5002	R1	0.016289437871746523	LM18-13
Deferoxamine mesylate	Erythromycin	NT5002	R1	0.015331242232866213	LM18-13
Liranaftate	Erythromycin	NT5002	R1	0.015906197376738193	LM18-13
Sulfadimethoxine	Erythromycin	NT5002	R1	0.012935685459804986	LM18-13
Sulfanilamide	Erythromycin	NT5002	R1	0.01628938458043093	LM18-13
Balsalazide Sodium	Erythromycin	NT5002	R1	0.01351056010791074	LM18-13
Aztreonam	Erythromycin	NT5001	R1	0.03191688373670677	LM18-12
Estradiol Valerate	Erythromycin	NT5002	R1	0.007857121641987477	LM18-13
Phentermine hydrochloride	Erythromycin	NT5002	R1	0.027979450344309813	LM18-13
Sulfaquinoxaline sodium salt	Erythromycin	NT5002	R1	0.016864419357956257	LM18-13
Streptozotocin	Erythromycin	NT5002	R1	0.026350562342188872	LM18-13
Metoprolol-(+,-) (+)-tartrate salt	Erythromycin	NT5002	R1	0.020792967007829014	LM18-13
Flumethasone	Erythromycin	NT5002	R1	0.01906823539528887	LM18-13
Flecainide acetate	Erythromycin	NT5002	R1	0.02040977910170587	LM18-13
Atractyloside potassium salt	Erythromycin	NT5002	R1	0.018780758046831696	LM18-13
Folinic acid calcium salt	Erythromycin	NT5002	R1	0.016481125028788547	LM18-13
Levonordefrin	Erythromycin	NT5002	R1	0.016193620348192283	LM18-13
Ebselen	Erythromycin	NT5002	R1	0.045610377992523626	LM18-13
Diclazuril	Erythromycin	NT5002	R1	0.01088571220988106	LM18-13
Vardenafil	Erythromycin	NT5002	R1	0.020409592534062434	LM18-13
Nadide	Erythromycin	NT5002	R1	0.019068262056895758	LM18-13
Sulfamethizole	Erythromycin	NT5002	R1	0.020792993477855265	LM18-13
Medrysone	Erythromycin	NT5002	R1	0.019164025714392477	LM18-13
Flunixin meglumine	Erythromycin	NT5002	R1	0.02424256347724318	LM18-13
Spiramycin	Erythromycin	NT5002	R1	0.01245644112907176	LM18-13
Catharanthine	Erythromycin	NT5001	R1	0.038264091983120196	LM18-12
Aprepitant	Erythromycin	NT5002	R1	0.012265125925838777	LM18-13
Monensin sodium salt	Erythromycin	NT5002	R1	0.004599398609696274	LM18-13
Isoetharine mesylate salt	Erythromycin	NT5002	R1	0.014277202887776314	LM18-13
Mevalonic-D, L acid lactone	Erythromycin	NT5002	R1	0.014756313718702879	LM18-13
Fluconazole	Erythromycin	NT5002	R1	0.010377062851754583	LM18-13
Anthralin	Erythromycin	NT5002	R1	0.013510613846279758	LM18-13
Terazosin hydrochloride	Erythromycin	NT5002	R1	0.01753508483601539	LM18-13
Phenazopyridine hydrochloride	Erythromycin	NT5002	R1	0.023763505426686652	LM18-13
Demeclocycline hydrochloride	Erythromycin	NT5002	R1	0.007952938718488296	LM18-13
Fenoprofen calcium salt dihydrate	Erythromycin	NT5002	R1	0.021751242791212454	LM18-13
Pentolinium bitartrate	Erythromycin	NT5001	R1	0.02814095688829503	LM18-12
Piperacillin sodium salt	Erythromycin	NT5002	R1	0.009869623018643478	LM18-13
Chlorotrianisene	Erythromycin	NT5002	R1	0.012556376015302764	LM18-13
Ribostamycin sulfate salt	Erythromycin	NT5002	R1	0.014756260427387348	LM18-13
Methacholine chloride	Erythromycin	NT5002	R1	0.018014142247937823	LM18-13
Pipenzolate bromide	Erythromycin	NT5002	R1	0.018684808045266142	LM18-13
Lamotrigine	Erythromycin	NT5002	R1	0.007782822689439585	LM18-13
Tripelennamine hydrochloride	Erythromycin	NT5002	R1	0.018589124149207055	LM18-13
Butamben	Erythromycin	NT5002	R1	0.02184700651260132	LM18-13
Sulfapyridine	Erythromycin	NT5002	R1	0.02529652255004562	LM18-13
Aminopurine, 6-benzyl	Erythromycin	NT5001	R1	0.03826690516925499	LM18-12
Meclofenoxate hydrochloride	Erythromycin	NT5002	R1	0.022038666784461893	LM18-13
Furaltadone hydrochloride	Erythromycin	NT5002	R1	0.005749069453732228	LM18-13
Ethoxyquin	Erythromycin	NT5002	R1	0.0235717916080377	LM18-13
Guanadrel sulfate	Erythromycin	NT5002	R1	0.017630848206141157	LM18-13
Vidarabine	Erythromycin	NT5002	R1	0.014852156818272382	LM18-13
Sulfameter	Erythromycin	NT5002	R1	0.021559502534435435	LM18-13
Isopropamide iodide	Erythromycin	NT5002	R1	0.019930535090241775	LM18-13
Tulobuterol	Erythromycin	NT5002	R1	0.009486062552262729	LM18-13
Nalmefene hydrochloride	Erythromycin	NT5002	R1	0.01782250882926483	LM18-13
Tolbutamide	Erythromycin	NT5001	R1	0.037062741346916346	LM18-12
Alclometasone dipropionate	Erythromycin	NT5002	R1	0.023571711303852116	LM18-13
Leflunomide	Erythromycin	NT5002	R1	0.02270938558583059	LM18-13
Norgestrel-(-)-D	Erythromycin	NT5002	R1	0.025200705313862336	LM18-13
Fluocinonide	Erythromycin	NT5002	R1	0.022230141638258635	LM18-13
Sulfamethazine sodium salt	Erythromycin	NT5002	R1	0.027212940840676228	LM18-13
Alexidine dihydrochloride	Erythromycin	NT5002	R1	0.00680340118248678	LM18-13
Proadifen hydrochloride	Erythromycin	NT5002	R1	0.01149843129151233	LM18-13
Zomepirac sodium salt	Erythromycin	NT5002	R1	0.018684808045266142	LM18-13
Cinoxacin	Erythromycin	NT5002	R1	0.015043684292852437	LM18-13
Methantheline bromide	Erythromycin	NT5001	R1	0.025051736614099596	LM18-12
Bifonazole	Erythromycin	NT5002	R1	0.01054172171294757	LM18-13
Imiquimod	Erythromycin	NT5002	R1	0.0155228757154314	LM18-13
Clobetasol propionate	Erythromycin	NT5002	R1	0.020697150059016647	LM18-13
Podophyllotoxin	Erythromycin	NT5002	R1	0.021367895553890463	LM18-13
Clofibric acid	Erythromycin	NT5002	R1	0.018589150268066	LM18-13
Bendroflumethiazide	Erythromycin	NT5002	R1	0.01734345036364884	LM18-13
Dicumarol	Erythromycin	NT5002	R1	0.02903327741805249	LM18-13
Merbromin	Erythromycin	NT5002	R1	0.02357157729319563	LM18-13
Hexylcaine hydrochloride	Erythromycin	NT5002	R1	0.012360730379825102	LM18-13
(R)-Propranolol hydrochloride	Erythromycin	NT5001	R1	0.024228964537304755	LM18-12
Drofenine hydrochloride	Erythromycin	NT5002	R1	0.014947707565787885	LM18-13
Cycloheximide	Erythromycin	NT5002	R1	0.015331055537534262	LM18-13
Fosinopril	Erythromycin	NT5002	R1	0.055441274902627104	LM18-13
Acetylsalicylic acid	Erythromycin	NT5002	R1	0.021176207949794985	LM18-13
(R) -Naproxen sodium salt	Erythromycin	NT5002	R1	0.02060130670397448	LM18-13
Propidium iodide	Erythromycin	NT5002	R1	0.022517645584430493	LM18-13
Cloperastine hydrochloride	Erythromycin	NT5002	R1	0.025679790856144663	LM18-13
Eucatropine hydrochloride	Erythromycin	NT5002	R1	0.019930560857837617	LM18-13
Isocarboxazid	Erythromycin	NT5002	R1	0.019930508556323386	LM18-13
Minoxidil	Erythromycin	NT5001	R1	0.031742062549649994	LM18-12
Midodrine hydrochloride	Erythromycin	NT5001	R1	0.03156271799320859	LM18-12
Methotrimeprazine maleat salt	Erythromycin	NT5002	R1	0.011212630964567578	LM18-13
Dienestrol	Erythromycin	NT5002	R1	0.022867980736392318	LM18-13
Pridinol methanesulfonate salt	Erythromycin	NT5002	R1	0.022709331975150022	LM18-13
Amrinone	Erythromycin	NT5002	R1	0.018038099855940324	LM18-13
Hexachlorophene	Erythromycin	NT5002	R1	0.013084494965440147	LM18-13
Trimipramine maleate salt	Erythromycin	NT5002	R1	0.01763074191078513	LM18-13
Carbinoxamine maleate salt	Erythromycin	NT5002	R1	0.014277069004808442	LM18-13
Methazolamide	Erythromycin	NT5002	R1	0.019163892023005138	LM18-13
Pyrithyldione	Erythromycin	NT5002	R1	0.01791832523523341	LM18-13
Spectinomycin dihydrochloride	Erythromycin	NT5002	R1	0.012552311145720816	LM18-13
Thalidomide	Erythromycin	NT5001	R1	0.035577580710472165	LM18-12
Piromidic acid	Erythromycin	NT5002	R1	0.017535031193436697	LM18-13
Chloropyramine hydrochloride	Erythromycin	NT5002	R1	0.011881592663717026	LM18-13
Furazolidone	Erythromycin	NT5002	R1	0.00766562025408076	LM18-13
Dichlorphenamide	Erythromycin	NT5002	R1	0.022134244544847404	LM18-13
Sulconazole nitrate	Erythromycin	NT5002	R1	0.06264575832666434	LM18-13
Suprofen	Erythromycin	NT5002	R1	0.016672571943710333	LM18-13
Auranofin	Erythromycin	NT5002	R1	0.013893880715524023	LM18-13
Cromolyn disodium salt	Erythromycin	NT5002	R1	0.018014142726889466	LM18-13
Oxolinic acid	Erythromycin	NT5001	R1	0.03998324024997874	LM18-12
Bucladesine sodium salt	Erythromycin	NT5002	R1	0.03727354504199732	LM18-13
Cefsulodin sodium salt	Erythromycin	NT5002	R1	0.019738874339429613	LM18-13
Fosfosal	Erythromycin	NT5002	R1	0.021846872980896458	LM18-13
Deflazacort	Erythromycin	NT5002	R1	0.017630848397721745	LM18-13
Nadolol	Erythromycin	NT5002	R1	0.020122141464146603	LM18-13
Moxalactam disodium salt	Erythromycin	NT5002	R1	0.010540314807142194	LM18-13
Aminophylline	Erythromycin	NT5002	R1	0.015906037343013088	LM18-13
Oxalamine citrate salt	Erythromycin	NT5002	R1	0.020696937340616145	LM18-13
Nimesulide	Erythromycin	NT5001	R1	0.03655357340365267	LM18-12
Azlocillin sodium salt	Erythromycin	NT5002	R1	0.010061123735826393	LM18-13
Clidinium bromide	Erythromycin	NT5002	R1	0.022996704273525362	LM18-13
Sulfamonomethoxine	Erythromycin	NT5002	R1	0.0246256706640255	LM18-13
Benzthiazide	Erythromycin	NT5002	R1	0.024050715615943845	LM18-13
Trichlormethiazide	Erythromycin	NT5002	R1	0.02500891211693703	LM18-13
Propantheline bromide	Erythromycin	NT5002	R1	0.02021798507456585	LM18-13
Viloxazine hydrochloride	Erythromycin	NT5002	R1	0.0178950288614565	LM18-13
Dimethadione	Erythromycin	NT5002	R1	0.02424234992862788	LM18-13
Ethaverine hydrochloride	Erythromycin	NT5002	R1	0.05212600947449931	LM18-13
Asenapine maleate	Erythromycin	NT5001	R1	0.03466270283551652	LM18-12
Indoprofen	Erythromycin	NT5002	R1	0.018205643380180235	LM18-13
Butacaine	Erythromycin	NT5002	R1	0.016768415873494466	LM18-13
Cefoxitin sodium salt	Erythromycin	NT5002	R1	0.011594566743039882	LM18-13
Ifosfamide	Erythromycin	NT5002	R1	0.020697096735707132	LM18-13
Novobiocin sodium salt	Erythromycin	NT5002	R1	0.00498271991973997	LM18-13
Tetrahydroxy-1,4-quinone monohydrate	Erythromycin	NT5002	R1	0.02223024719919029	LM18-13
Carbenoxolone disodium salt	Erythromycin	NT5002	R1	0.027691919832225492	LM18-13
Iocetamic acid	Erythromycin	NT5002	R1	0.020313749211014132	LM18-13
Ganciclovir	Erythromycin	NT5002	R1	0.018780624962180283	LM18-13
Ethopropazine hydrochloride	Erythromycin	NT5002	R1	0.018397250839676756	LM18-13
Ethynylestradiol 3-methyl ether	Erythromycin	NT5002	R1	0.019355553029290137	LM18-13
Olanzapine	Erythromycin	NT5002	R1	0.018972258572433967	LM18-13
Trimeprazine tartrate	Erythromycin	NT5002	R1	0.021942663300000095	LM18-13
Nafcillin sodium salt monohydrate	Erythromycin	NT5002	R1	0.016001879995624954	LM18-13
Procyclidine hydrochloride	Erythromycin	NT5002	R1	0.022421801048006337	LM18-13
Amiprilose hydrochloride	Erythromycin	NT5002	R1	0.01954715988214656	LM18-13
Metaraminol bitartrate	Erythromycin	NT5001	R1	0.037408810207686834	LM18-12
(-) -Levobunolol hydrochloride	Erythromycin	NT5002	R1	0.023379997325520704	LM18-13
Iodixanol	Erythromycin	NT5002	R1	0.021080257501271748	LM18-13
Clinafloxacin	Erythromycin	NT5002	R1	0.00948598275892693	LM18-13
Equilin	Erythromycin	NT5002	R1	0.019930507406839507	LM18-13
Tolmetin sodium salt dihydrate	Erythromycin	NT5002	R1	0.01820556406579602	LM18-13
Paroxetine Hydrochloride	Erythromycin	NT5002	R1	0.018013982757056565	LM18-13
Nylidrin	Erythromycin	NT5002	R1	0.020792886959020422	LM18-13
Liothyronine	Erythromycin	NT5002	R1	0.01715181684918548	LM18-13
Roxithromycin	Erythromycin	NT5002	R1	0.01743886837768027	LM18-13
Salbutamol	Erythromycin	NT5001	R1	0.030718198744073066	LM18-12
Beclomethasone dipropionate	Erythromycin	NT5002	R1	0.020601252805922964	LM18-13
(+) -Levobunolol hydrochloride	Erythromycin	NT5002	R1	0.02040959278953515	LM18-13
Doxazosin mesylate	Erythromycin	NT5002	R1	0.01121076702424437	LM18-13
Fluvastatin sodium salt	Erythromycin	NT5002	R1	0.016576835331077535	LM18-13
Methylhydantoin-5-(L)	Erythromycin	NT5002	R1	0.02117610149485228	LM18-13
Azacytidine-5	Erythromycin	NT5002	R1	0.014181252407259225	LM18-13
Gabapentin	Erythromycin	NT5002	R1	0.009965173798344558	LM18-13
Raloxifene hydrochloride	Erythromycin	NT5002	R1	0.010348308157679327	LM18-13
Prilocaine hydrochloride	Erythromycin	NT5001	R1	0.040838428324988275	LM18-12
Etidronic acid, disodium salt	Erythromycin	NT5002	R1	0.016097670889470478	LM18-13
Methylhydantoin-5-(D)	Erythromycin	NT5002	R1	0.01858901724721094	LM18-13
Simvastatin	Erythromycin	NT5002	R1	0.02452977427314042	LM18-13
Paromomycin sulfate	Erythromycin	NT5002	R1	0.013797984420429309	LM18-13
Acetaminophen	Erythromycin	NT5002	R1	0.013414742871727463	LM18-13
Phthalylsulfathiazole	Erythromycin	NT5002	R1	0.018780598076998792	LM18-13
Luteolin	Erythromycin	NT5002	R1	0.00996685651322342	LM18-13
Bicalutamide	Erythromycin	NT5002	R1	0.017848472266421056	LM18-13
Camptothecine (S,+)	Erythromycin	NT5001	R1	0.0370626454330966	LM18-12
Iopamidol	Erythromycin	NT5002	R1	0.014277015841181339	LM18-13
Iopromide	Erythromycin	NT5002	R1	0.01667254531400163	LM18-13
Theophylline monohydrate	Erythromycin	NT5002	R1	0.015235291464978111	LM18-13
Theobromine	Erythromycin	NT5002	R1	0.01782237571261945	LM18-13
Reserpine	Erythromycin	NT5002	R1	0.01638517512301335	LM18-13
Scopolamine hydrochloride	Erythromycin	NT5002	R1	0.012456573798663715	LM18-13
Ioversol	Erythromycin	NT5002	R1	0.02079275333152524	LM18-13
Rabeprazole Sodium salt	Erythromycin	NT5002	R1	0.020601146670249437	LM18-13
Carbachol	Erythromycin	NT5002	R1	0.016480859114862755	LM18-13
Iopanoic acid	Erythromycin	NT5001	R1	0.04221131266055448	LM18-12
Ciprofibrate	Erythromycin	NT5001	R1	0.028140861472060363	LM18-12
Clioquinol	Erythromycin	NT5002	R1	0.009869652202984216	LM18-13
Niacin	Erythromycin	NT5002	R1	0.014852535828475311	LM18-13
Bemegride	Erythromycin	NT5002	R1	0.022135179011021064	LM18-13
Digoxigenin	Erythromycin	NT5002	R1	0.013128039221294527	LM18-13
Meglumine	Erythromycin	NT5002	R1	0.020697764617518523	LM18-13
Dolasetron mesilate	Erythromycin	NT5002	R1	0.16183575357072225	LM18-13
Oxybenzone	Erythromycin	NT5002	R1	0.18534013669819457	LM18-13
Promethazine hydrochloride	Erythromycin	NT5002	R1	0.022134648109461762	LM18-13
Topiramate	Erythromycin	NT5001	R1	0.03706264781807342	LM18-12
Diacerein	Erythromycin	NT5002	R1	0.009677938096964307	LM18-13
Esmolol hydrochloride	Erythromycin	NT5002	R1	0.016481233463429813	LM18-13
N-Acetyl-L-leucine	Erythromycin	NT5002	R1	0.05374790197389145	LM18-13
Cortisol acetate	Erythromycin	NT5002	R1	0.012552605796742425	LM18-13
Flubendazol	Erythromycin	NT5002	R1	0.06803080572662316	LM18-13
Felbinac	Erythromycin	NT5002	R1	0.017726987585167584	LM18-13
Butylparaben	Erythromycin	NT5002	R1	0.011594488674025596	LM18-13
Aminohippuric acid	Erythromycin	NT5002	R1	0.020601602791850783	LM18-13
Ranitidine hydrochloride	Erythromycin	NT5001	R1	0.03380465625981098	LM18-12
Pipemidic acid	Erythromycin	NT5002	R1	0.024530312039991873	LM18-13
Dioxybenzone	Erythromycin	NT5002	R1	0.015043925077816515	LM18-13
Adrenosterone	Erythromycin	NT5002	R1	0.018397572216197394	LM18-13
Methylatropine nitrate	Erythromycin	NT5002	R1	0.016960398894838274	LM18-13
Fluspirilen	Erythromycin	NT5002	R1	0.049258865488259286	LM18-13
Hymecromone	Erythromycin	NT5002	R1	0.047914390512058	LM18-13
Abacavir Sulfate	Erythromycin	NT5002	R1	0.023572113782779024	LM18-13
Diloxanide furoate	Erythromycin	NT5002	R1	0.0208890802679965	LM18-13
Metyrapone	Erythromycin	NT5002	R1	0.021751512409062552	LM18-13
Tiratricol, 3,3',5-triiodothyroacetic acid	Erythromycin	NT5001	R1	0.026529992097032353	LM18-12
Urapidil hydrochloride	Erythromycin	NT5002	R1	0.023284583877430622	LM18-13
